_ID;Project;Payment Done; Amount ;Program
363183268;UKR-000284 BHA;YES;6 660;MPCA
363183282;UKR-000284 BHA;YES;19 980;MPCA
363183301;UKR-000284 BHA;NO;33 300;MPCA
363184246;UKR-000284 BHA;YES;13 320;MPCA
363184306;UKR-000284 BHA;YES;19 980;MPCA
363184321;UKR-000284 BHA;YES;13 320;MPCA
363184324;UKR-000284 BHA;YES;6 660;MPCA
363184335;UKR-000284 BHA;YES;13 320;MPCA
363196488;UKR-000284 BHA;NO;19 980;MPCA
363198887;UKR-000284 BHA;YES;6 660;MPCA
363203469;UKR-000284 BHA;YES;19 980;MPCA
363207181;UKR-000284 BHA;YES;13 320;MPCA
364110513;UKR-000284 BHA;YES;13 320;MPCA
364110529;UKR-000284 BHA;YES;13 320;MPCA
364110540;UKR-000284 BHA;YES;13 320;MPCA
364110550;UKR-000284 BHA;YES;13 320;MPCA
364110569;UKR-000284 BHA;YES;13 320;MPCA
364481924;UKR-000284 BHA;YES;13 320;MPCA
364481929;UKR-000284 BHA;YES;19 980;MPCA
364481930;UKR-000284 BHA;YES;13 320;MPCA
364481934;UKR-000284 BHA;YES;13 320;MPCA
364481937;UKR-000284 BHA;YES;19 980;MPCA
364655690;UKR-000284 BHA;NO;13 320;MPCA
364655697;UKR-000284 BHA;YES;68 640;MPCA | CashForRent
364655704;UKR-000284 BHA;YES;65 460;MPCA | CashForRent
364655708;UKR-000284 BHA;YES;13 320;MPCA
364655718;UKR-000284 BHA;YES;13 320;MPCA
364655724;UKR-000284 BHA;NO;13 320;MPCA
364655732;UKR-000284 BHA;YES;26 640;MPCA
364655737;UKR-000284 BHA;YES;13 320;MPCA
364655743;UKR-000284 BHA;YES;19 980;MPCA
364655751;UKR-000284 BHA;YES;19 980;MPCA
364655760;UKR-000284 BHA;YES;26 640;MPCA
364655771;UKR-000284 BHA;YES;19 980;MPCA
364655780;UKR-000284 BHA;YES;19 980;MPCA
364655791;UKR-000284 BHA;YES;19 980;MPCA
364655795;UKR-000284 BHA;YES;32 820;MPCA | CashForRent
364655804;UKR-000284 BHA;YES;19 980;MPCA
364655819;UKR-000284 BHA;YES;19 980;MPCA
364655826;UKR-000284 BHA;YES;13 320;MPCA
364655834;UKR-000284 BHA;YES;33 300;MPCA
364655840;UKR-000284 BHA;YES;8 880;MPCA
364655845;UKR-000284 BHA;YES;26 640;MPCA
364655854;UKR-000284 BHA;YES;19 980;MPCA
364657647;UKR-000284 BHA;YES;6 660;MPCA
364657656;UKR-000284 BHA;YES;26 640;MPCA
364657663;UKR-000284 BHA;YES;26 640;MPCA
364657670;UKR-000284 BHA;YES;53 280;MPCA
364657679;UKR-000284 BHA;YES;19 980;MPCA
364657695;UKR-000284 BHA;YES;19 980;MPCA
364657705;UKR-000284 BHA;NO;26 640;MPCA
364657716;UKR-000284 BHA;YES;19 980;MPCA
364657726;UKR-000284 BHA;YES;4 440;MPCA
364657739;UKR-000284 BHA;YES;26 640;MPCA
364657746;UKR-000284 BHA;YES;26 640;MPCA
364657757;UKR-000284 BHA;YES;13 320;MPCA
364657764;UKR-000284 BHA;YES;33 300;MPCA
364657762;UKR-000284 BHA;YES;33 300;MPCA
364657772;UKR-000284 BHA;YES;26 640;MPCA
364657776;UKR-000284 BHA;YES;26 640;MPCA
364657791;UKR-000284 BHA;YES;19 980;MPCA
364657794;UKR-000284 BHA;YES;39 960;MPCA
364657807;UKR-000284 BHA;YES;26 640;MPCA
364657813;UKR-000284 BHA;YES;13 320;MPCA
364657822;UKR-000284 BHA;YES;19 980;MPCA
364657829;UKR-000284 BHA;YES;31 080;MPCA
364657835;UKR-000284 BHA;YES;13 320;MPCA
364657850;UKR-000284 BHA;YES;19 980;MPCA
364657867;UKR-000284 BHA;YES;26 640;MPCA
364657875;UKR-000284 BHA;YES;26 640;MPCA
364657891;UKR-000284 BHA;YES;33 300;MPCA
364657899;UKR-000284 BHA;YES;19 980;MPCA
364658296;UKR-000284 BHA;NO;6 660;MPCA
364658305;UKR-000284 BHA;YES;26 640;MPCA
364658315;UKR-000284 BHA;YES;26 640;MPCA
364658324;UKR-000284 BHA;NO;6 660;MPCA
364658331;UKR-000284 BHA;YES;26 640;MPCA
364658341;UKR-000284 BHA;YES;39 960;MPCA
364658351;UKR-000284 BHA;YES;26 640;MPCA
364658358;UKR-000284 BHA;YES;26 640;MPCA
364658371;UKR-000284 BHA;YES;26 640;MPCA
364658378;UKR-000284 BHA;YES;13 320;MPCA
364658381;UKR-000284 BHA;YES;13 320;MPCA
364658389;UKR-000284 BHA;YES;19 980;MPCA
364658395;UKR-000284 BHA;YES;13 320;MPCA
364658400;UKR-000284 BHA;YES;26 640;MPCA
364658407;UKR-000284 BHA;YES;26 640;MPCA
364658411;UKR-000284 BHA;YES;39 960;MPCA
364678347;UKR-000284 BHA;YES;13 320;MPCA
364686256;UKR-000284 BHA;YES;13 320;MPCA
364968728;UKR-000284 BHA;YES;13 320;MPCA
364980237;UKR-000284 BHA;YES;13 320;MPCA
365572264;UKR-000284 BHA;YES;6 660;MPCA
365572309;UKR-000284 BHA;YES;19 980;MPCA
365572331;UKR-000284 BHA;YES;6 660;MPCA
365572338;UKR-000284 BHA;NO;6 660;MPCA
365572365;UKR-000284 BHA;YES;6 660;MPCA
365572392;UKR-000284 BHA;YES;6 660;MPCA
365572434;UKR-000284 BHA;YES;6 660;MPCA
365572504;UKR-000284 BHA;YES;19 980;MPCA
365572548;UKR-000284 BHA;YES;19 980;MPCA
365572570;UKR-000284 BHA;YES;19 980;MPCA
365572628;UKR-000284 BHA;YES;6 660;MPCA
365572719;UKR-000284 BHA;YES;68 640;MPCA | CashForRent
365617800;UKR-000284 BHA;YES;13 320;MPCA
365617811;UKR-000284 BHA;NO;6 660;MPCA
365617829;UKR-000284 BHA;NO;26 640;MPCA
365617851;UKR-000284 BHA;YES;26 640;MPCA
365617881;UKR-000284 BHA;NO;13 320;MPCA
365617903;UKR-000284 BHA;YES;13 320;MPCA
365617923;UKR-000284 BHA;YES;6 660;MPCA
365617936;UKR-000284 BHA;YES;19 980;MPCA
365617954;UKR-000284 BHA;YES;33 300;MPCA
365623849;UKR-000284 BHA;YES;26 640;MPCA
365623858;UKR-000284 BHA;NO;13 320;MPCA
365623894;UKR-000284 BHA;YES;19 980;MPCA
365624024;UKR-000284 BHA;YES;26 640;MPCA
365624086;UKR-000284 BHA;NO;19 980;MPCA
365624102;UKR-000284 BHA;NO;13 320;MPCA
365624124;UKR-000284 BHA;YES;32 820;MPCA | CashForRent
365624168;UKR-000284 BHA;YES;13 320;MPCA
365624191;UKR-000284 BHA;YES;26 640;MPCA
365624258;UKR-000284 BHA;YES;13 320;MPCA
365624269;UKR-000284 BHA;YES;33 300;MPCA
365624322;UKR-000284 BHA;YES;19 980;MPCA
365624343;UKR-000284 BHA;YES;6 660;MPCA
365624370;UKR-000284 BHA;YES;19 980;MPCA
365624430;UKR-000284 BHA;YES;6 660;MPCA
365624487;UKR-000284 BHA;YES;13 320;MPCA
365624557;UKR-000284 BHA;YES;19 980;MPCA
365624576;UKR-000284 BHA;YES;39 480;MPCA | CashForRent
365624617;UKR-000284 BHA;YES;26 640;MPCA
365624634;UKR-000284 BHA;YES;26 640;MPCA
365910913;UKR-000284 BHA;YES;26 640;MPCA
365910922;UKR-000284 BHA;YES;13 320;MPCA
365910932;UKR-000284 BHA;YES;19 980;MPCA
365910941;UKR-000284 BHA;YES;26 640;MPCA
365910949;UKR-000284 BHA;YES;19 980;MPCA
365910955;UKR-000284 BHA;YES;26 640;MPCA
365910959;UKR-000284 BHA;NO;13 320;MPCA
365910965;UKR-000284 BHA;YES;2 220;MPCA
365910971;UKR-000284 BHA;YES;6 660;MPCA
365910976;UKR-000284 BHA;YES;13 320;MPCA
365912130;UKR-000284 BHA;YES;19 980;MPCA
365912139;UKR-000284 BHA;YES;26 640;MPCA
365912145;UKR-000284 BHA;YES;6 660;MPCA
365912150;UKR-000284 BHA;YES;13 320;MPCA
365912161;UKR-000284 BHA;YES;26 640;MPCA
365912163;UKR-000284 BHA;YES;19 980;MPCA
365912169;UKR-000284 BHA;YES;19 980;MPCA
365912172;UKR-000284 BHA;YES;6 660;MPCA
365912182;UKR-000284 BHA;YES;13 320;MPCA
365912188;UKR-000284 BHA;YES;6 660;MPCA
365912193;UKR-000284 BHA;NO;13 320;MPCA
365912200;UKR-000284 BHA;YES;26 640;MPCA
365912207;UKR-000284 BHA;YES;26 640;MPCA
365912210;UKR-000284 BHA;YES;37 820;MPCA | CashForRent
365912215;UKR-000284 BHA;YES;26 640;MPCA
365912220;UKR-000284 BHA;NO;19 980;MPCA
365912224;UKR-000284 BHA;YES;19 980;MPCA
365912231;UKR-000284 BHA;YES;6 660;MPCA
365912235;UKR-000284 BHA;YES;13 320;MPCA
365912238;UKR-000284 BHA;NO;19 980;MPCA
365912244;UKR-000284 BHA;NO;6 660;MPCA
365912249;UKR-000284 BHA;YES;6 660;MPCA
365912262;UKR-000284 BHA;YES;13 320;MPCA
365912271;UKR-000284 BHA;YES;13 320;MPCA
365912285;UKR-000284 BHA;YES;6 660;MPCA
365912302;UKR-000284 BHA;YES;8 880;MPCA
365912352;UKR-000284 BHA;YES;4 440;MPCA
365912370;UKR-000284 BHA;YES;26 640;MPCA
365912383;UKR-000284 BHA;YES;13 320;MPCA
365912391;UKR-000284 BHA;YES;26 640;MPCA
365912409;UKR-000284 BHA;YES;26 640;MPCA
365912415;UKR-000284 BHA;YES;19 980;MPCA
365912434;UKR-000284 BHA;YES;26 640;MPCA
365912447;UKR-000284 BHA;YES;19 980;MPCA
365912456;UKR-000284 BHA;YES;19 980;MPCA
365912467;UKR-000284 BHA;YES;39 960;MPCA
365912481;UKR-000284 BHA;YES;26 640;MPCA
365912484;UKR-000284 BHA;YES;26 640;MPCA
365912495;UKR-000284 BHA;YES;19 980;MPCA
365912503;UKR-000284 BHA;YES;26 640;MPCA
365912511;UKR-000284 BHA;YES;19 980;MPCA
365912519;UKR-000284 BHA;YES;13 320;MPCA
365912527;UKR-000284 BHA;YES;6 660;MPCA
365965129;UKR-000284 BHA;YES;13 320;MPCA
365993601;UKR-000284 BHA;YES;33 300;MPCA
366004443;UKR-000284 BHA;YES;26 640;MPCA
367045149;UKR-000284 BHA;YES;19 980;MPCA
367045161;UKR-000284 BHA;YES;26 640;MPCA
367045168;UKR-000284 BHA;NO;13 320;MPCA
367045177;UKR-000284 BHA;YES;13 320;MPCA
367045185;UKR-000284 BHA;YES;13 320;MPCA
367045195;UKR-000284 BHA;YES;33 300;MPCA
367045201;UKR-000284 BHA;YES;19 980;MPCA
367045209;UKR-000284 BHA;YES;19 980;MPCA
367045219;UKR-000284 BHA;YES;19 980;MPCA
367045226;UKR-000284 BHA;YES;26 640;MPCA
367045234;UKR-000284 BHA;YES;33 300;MPCA
367045247;UKR-000284 BHA;YES;6 660;MPCA
367045257;UKR-000284 BHA;YES;13 320;MPCA
367045271;UKR-000284 BHA;YES;26 640;MPCA
367045280;UKR-000284 BHA;YES;19 980;MPCA
367045291;UKR-000284 BHA;YES;13 320;MPCA
367045325;UKR-000284 BHA;YES;13 320;MPCA
367045336;UKR-000284 BHA;YES;4 440;MPCA
367045344;UKR-000284 BHA;YES;13 320;MPCA
367045350;UKR-000284 BHA;YES;13 320;MPCA
367045366;UKR-000284 BHA;YES;19 980;MPCA
367045388;UKR-000284 BHA;YES;26 640;MPCA
367045399;UKR-000284 BHA;YES;6 660;MPCA
367045412;UKR-000284 BHA;YES;19 980;MPCA
367045429;UKR-000284 BHA;YES;13 320;MPCA
367045444;UKR-000284 BHA;YES;19 980;MPCA
367045462;UKR-000284 BHA;YES;33 300;MPCA
367045480;UKR-000284 BHA;YES;33 300;MPCA
367045491;UKR-000284 BHA;YES;26 640;MPCA
367045498;UKR-000284 BHA;YES;33 300;MPCA
367045508;UKR-000284 BHA;YES;58 800;MPCA | CashForRent
367045514;UKR-000284 BHA;YES;13 320;MPCA
367045528;UKR-000284 BHA;YES;19 980;MPCA
367045536;UKR-000284 BHA;YES;13 320;MPCA
367045543;UKR-000284 BHA;YES;6 660;MPCA
367045552;UKR-000284 BHA;YES;19 980;MPCA
367046129;UKR-000284 BHA;YES;13 320;MPCA
367046143;UKR-000284 BHA;YES;19 980;MPCA
367046165;UKR-000284 BHA;YES;33 300;MPCA
367046194;UKR-000284 BHA;YES;13 320;MPCA
367046223;UKR-000284 BHA;YES;13 320;MPCA
367046250;UKR-000284 BHA;YES;46 620;MPCA
367046270;UKR-000284 BHA;YES;26 640;MPCA
367046281;UKR-000284 BHA;YES;19 980;MPCA
367046295;UKR-000284 BHA;YES;19 980;MPCA
367046309;UKR-000284 BHA;YES;26 640;MPCA
367046327;UKR-000284 BHA;YES;19 980;MPCA
367046344;UKR-000284 BHA;YES;33 300;MPCA
367046366;UKR-000284 BHA;YES;13 320;MPCA
367046396;UKR-000284 BHA;YES;6 660;MPCA
367046422;UKR-000284 BHA;YES;33 300;MPCA
367049501;UKR-000284 BHA;YES;13 320;MPCA
367049525;UKR-000284 BHA;YES;19 980;MPCA
367052569;UKR-000284 BHA;YES;26 640;MPCA
367052575;UKR-000284 BHA;YES;13 320;MPCA
367052586;UKR-000284 BHA;YES;13 320;MPCA
367052600;UKR-000284 BHA;YES;13 320;MPCA
367052629;UKR-000284 BHA;YES;19 980;MPCA
367052642;UKR-000284 BHA;YES;13 320;MPCA
367052659;UKR-000284 BHA;YES;13 320;MPCA
367052675;UKR-000284 BHA;YES;13 320;MPCA
367063351;UKR-000284 BHA;YES;19 980;MPCA
367063370;UKR-000284 BHA;YES;13 320;MPCA
367063397;UKR-000284 BHA;YES;26 640;MPCA
367063440;UKR-000284 BHA;YES;19 980;MPCA
367063514;UKR-000284 BHA;YES;26 640;MPCA
367063544;UKR-000284 BHA;YES;26 640;MPCA
367063577;UKR-000284 BHA;YES;26 640;MPCA
367063593;UKR-000284 BHA;YES;26 640;MPCA
367063645;UKR-000284 BHA;YES;19 980;MPCA
367063676;UKR-000284 BHA;YES;19 980;MPCA
367063701;UKR-000284 BHA;YES;13 320;MPCA
367063718;UKR-000284 BHA;NO;26 640;MPCA
367063727;UKR-000284 BHA;YES;68 640;MPCA | CashForRent
367063751;UKR-000284 BHA;YES;13 320;MPCA
367063750;UKR-000284 BHA;YES;19 980;MPCA
367063763;UKR-000284 BHA;YES;19 980;MPCA
367063769;UKR-000284 BHA;YES;19 980;MPCA
367063775;UKR-000284 BHA;YES;58 980;MPCA | CashForRent
367063782;UKR-000284 BHA;NO;13 320;MPCA
367063788;UKR-000284 BHA;YES;26 160;MPCA | CashForRent
367063798;UKR-000284 BHA;YES;13 320;MPCA
367063801;UKR-000284 BHA;YES;6 660;MPCA
367063816;UKR-000284 BHA;YES;13 320;MPCA
367063840;UKR-000284 BHA;YES;26 640;MPCA
367063868;UKR-000284 BHA;YES;26 640;MPCA
367063894;UKR-000284 BHA;YES;26 640;MPCA
367063937;UKR-000284 BHA;YES;46 620;MPCA
367063998;UKR-000284 BHA;YES;33 300;MPCA
367064042;UKR-000284 BHA;YES;19 980;MPCA
367064062;UKR-000284 BHA;YES;19 980;MPCA
367064103;UKR-000284 BHA;YES;19 980;MPCA
367064131;UKR-000284 BHA;YES;26 640;MPCA
367064161;UKR-000284 BHA;YES;13 320;MPCA
367064182;UKR-000284 BHA;YES;13 320;MPCA
367064224;UKR-000284 BHA;YES;13 320;MPCA
367064244;UKR-000284 BHA;YES;17 760;MPCA
367064317;UKR-000284 BHA;YES;26 640;MPCA
367064343;UKR-000284 BHA;YES;19 980;MPCA
367064360;UKR-000284 BHA;YES;19 980;MPCA
367064383;UKR-000284 BHA;YES;26 640;MPCA
367064392;UKR-000284 BHA;YES;4 440;MPCA
367064412;UKR-000284 BHA;YES;26 640;MPCA
367074428;UKR-000284 BHA;YES;33 300;MPCA
367074454;UKR-000284 BHA;YES;19 980;MPCA
367074469;UKR-000284 BHA;YES;33 300;MPCA
367074487;UKR-000284 BHA;YES;19 980;MPCA
367074505;UKR-000284 BHA;YES;13 320;MPCA
367074522;UKR-000284 BHA;YES;26 640;MPCA
367074550;UKR-000284 BHA;YES;33 300;MPCA
367074576;UKR-000284 BHA;YES;33 300;MPCA
367074588;UKR-000284 BHA;YES;26 640;MPCA
367074603;UKR-000284 BHA;YES;19 980;MPCA
367074627;UKR-000284 BHA;YES;13 320;MPCA
367074644;UKR-000284 BHA;YES;13 320;MPCA
367074658;UKR-000284 BHA;YES;13 320;MPCA
367074673;UKR-000284 BHA;YES;19 980;MPCA
367074693;UKR-000284 BHA;YES;19 980;MPCA
367074709;UKR-000284 BHA;YES;19 980;MPCA
367090614;UKR-000284 BHA;YES;19 980;MPCA
367090621;UKR-000284 BHA;YES;26 640;MPCA
367090626;UKR-000284 BHA;YES;26 640;MPCA
367090628;UKR-000284 BHA;YES;26 640;MPCA
367090635;UKR-000284 BHA;YES;26 640;MPCA
367090645;UKR-000284 BHA;YES;19 980;MPCA
367090654;UKR-000284 BHA;YES;19 980;MPCA
367090661;UKR-000284 BHA;YES;39 960;MPCA
367090689;UKR-000284 BHA;YES;19 980;MPCA
367090706;UKR-000284 BHA;YES;19 980;MPCA
367090723;UKR-000284 BHA;YES;26 640;MPCA
367090727;UKR-000284 BHA;YES;39 960;MPCA
367090731;UKR-000284 BHA;YES;13 320;MPCA
367090756;UKR-000284 BHA;YES;19 980;MPCA
367090773;UKR-000284 BHA;YES;26 640;MPCA
367090792;UKR-000284 BHA;YES;19 980;MPCA
367090901;UKR-000284 BHA;YES;6 660;MPCA
367090949;UKR-000284 BHA;YES;13 320;MPCA
367090964;UKR-000284 BHA;YES;13 320;MPCA
367090973;UKR-000284 BHA;YES;13 320;MPCA
367090983;UKR-000284 BHA;YES;33 300;MPCA
367091005;UKR-000284 BHA;YES;46 620;MPCA
367520003;UKR-000284 BHA;YES;6 660;MPCA
368512796;UKR-000284 BHA;YES;13 320;MPCA
367485354;UKR-000284 BHA;YES;19 980;MPCA
367485372;UKR-000284 BHA;YES;45 660;MPCA | CashForRent
367485404;UKR-000284 BHA;YES;13 320;MPCA
367485428;UKR-000284 BHA;YES;33 300;MPCA
367485472;UKR-000284 BHA;YES;19 980;MPCA
367485495;UKR-000284 BHA;YES;13 320;MPCA
367485513;UKR-000284 BHA;YES;33 300;MPCA
367485534;UKR-000284 BHA;YES;19 980;MPCA
367485548;UKR-000284 BHA;YES;26 160;MPCA | CashForRent
367485576;UKR-000284 BHA;YES;19 980;MPCA
367485594;UKR-000284 BHA;YES;33 300;MPCA
367485608;UKR-000284 BHA;YES;39 480;MPCA | CashForRent
367487400;UKR-000284 BHA;YES;26 640;MPCA
367487431;UKR-000284 BHA;YES;6 660;MPCA
367487453;UKR-000284 BHA;YES;13 320;MPCA
367487508;UKR-000284 BHA;YES;13 320;MPCA
367487556;UKR-000284 BHA;YES;6 660;MPCA
367487580;UKR-000284 BHA;YES;19 980;MPCA
367487592;UKR-000284 BHA;YES;13 320;MPCA
367487610;UKR-000284 BHA;YES;13 320;MPCA
367487622;UKR-000284 BHA;YES;26 640;MPCA
367487676;UKR-000284 BHA;YES;26 640;MPCA
367487693;UKR-000284 BHA;YES;13 320;MPCA
367495763;UKR-000284 BHA;YES;26 640;MPCA
367495780;UKR-000284 BHA;YES;13 320;MPCA
367495801;UKR-000284 BHA;YES;26 640;MPCA
367495844;UKR-000284 BHA;YES;39 960;MPCA
367495859;UKR-000284 BHA;YES;13 320;MPCA
367495871;UKR-000284 BHA;YES;19 980;MPCA
367495883;UKR-000284 BHA;YES;13 320;MPCA
367495925;UKR-000284 BHA;YES;19 980;MPCA
367495977;UKR-000284 BHA;YES;33 300;MPCA
367495999;UKR-000284 BHA;YES;13 320;MPCA
367496037;UKR-000284 BHA;YES;19 980;MPCA
367496049;UKR-000284 BHA;YES;19 980;MPCA
367496176;UKR-000284 BHA;NO;39 960;MPCA
367496196;UKR-000284 BHA;YES;26 640;MPCA
367496224;UKR-000284 BHA;YES;26 640;MPCA
367496254;UKR-000284 BHA;YES;19 980;MPCA
367496306;UKR-000284 BHA;YES;26 640;MPCA
367496379;UKR-000284 BHA;YES;13 320;MPCA
367496417;UKR-000284 BHA;YES;13 320;MPCA
367496448;UKR-000284 BHA;YES;19 980;MPCA
367496514;UKR-000284 BHA;YES;6 660;MPCA
367496609;UKR-000284 BHA;YES;13 320;MPCA
367496643;UKR-000284 BHA;YES;19 980;MPCA
367496704;UKR-000284 BHA;YES;19 980;MPCA
367496740;UKR-000284 BHA;YES;19 980;MPCA
367496828;UKR-000284 BHA;YES;26 640;MPCA
367496866;UKR-000284 BHA;YES;33 300;MPCA
367496916;UKR-000284 BHA;YES;13 320;MPCA
367496951;UKR-000284 BHA;YES;6 660;MPCA
367496961;UKR-000284 BHA;YES;19 980;MPCA
367496983;UKR-000284 BHA;YES;26 640;MPCA
367497034;UKR-000284 BHA;YES;19 980;MPCA
367497042;UKR-000284 BHA;YES;19 980;MPCA
367497059;UKR-000284 BHA;YES;26 640;MPCA
367497070;UKR-000284 BHA;YES;39 960;MPCA
367497129;UKR-000284 BHA;YES;13 320;MPCA
367497185;UKR-000284 BHA;YES;19 980;MPCA
367497228;UKR-000284 BHA;YES;13 320;MPCA
367497080;UKR-000284 BHA;YES;13 320;MPCA
367497298;UKR-000284 BHA;YES;26 640;MPCA
367497319;UKR-000284 BHA;YES;26 640;MPCA
